Date,SATL,MELI,MHVYF,RTX
2022-01-19,9.649999618530273,1120.9100341796875,27.239999771118164,91.33999633789062
2022-01-20,9.520000457763672,1148.8699951171875,27.239999771118164,90.83000183105469
2022-01-21,12.329999923706055,1115.2099609375,27.239999771118164,88.80999755859375
2022-01-24,10.029999732971191,1028.8800048828125,26.729999542236328,88.30000305175781
2022-01-25,9.104000091552734,1034,26.729999542236328,91.29000091552734
2022-01-26,9.25,1047.0999755859375,26.729999542236328,91.5199966430664
2022-01-27,9.149999618530273,1033.1300048828125,26.709999084472656,91.4800033569336
2022-01-28,6.271999835968018,1050.780029296875,26.559999465942383,90.37000274658203
2022-01-31,6.670000076293945,1138.5699462890625,26.81999969482422,90.41000366210938
2022-02-01,7.199999809265137,1150,26.81999969482422,90.94000244140625
2022-02-02,6.050000190734863,1153.469970703125,26.81999969482422,92.69000244140625
